hotel_id,hotel_name,area,n_reviews,mean_rating,median_rating,low_share,high_share,median_word_count,details_coverage_pct,google_source_share_pct,sample_support,analysis_confidence,top_aspects,top_strength_signals,top_concern_signals
BOD129,Meggs Bodrum,Ortakent-Yahşi,20,3.5,4.5,0.3,0.6,29.0,55.0,90.0,MODERATE,MEDIUM,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BEACH_SEA;FOOD;CLEANLINESS,ROOM;MANAGEMENT;CHECKIN_CHECKOUT
BOD130,Petunya Beach Resort,Ortakent-Yahşi,10,3.3,4.0,0.4,0.6,159.5,90.0,90.0,LOW_SUPPORT,LOW,BEACH_SEA;FOOD;CLEANLINESS;ROOM;STAFF,BEACH_SEA;STAFF;CLEANLINESS,BEACH_SEA;FOOD;ROOM
BOD131,Regia Mare Beach Hotel Bodrum,Ortakent-Yahşi,20,4.6,5.0,0.05,0.95,53.0,85.0,95.0,MODERATE,MEDIUM,FOOD;ROOM;BEACH_SEA;CLEANLINESS;STAFF,FOOD;ROOM;BEACH_SEA,RESERVATION
BOD132,Viras Hotel & Beach,Ortakent-Yahşi,22,4.7727272727272725,5.0,0.0,0.955,35.0,72.7,95.5,MODERATE,MEDIUM,STAFF;BAR_DRINKS;FOOD;SERVICE;FAMILY_KIDS,BAR_DRINKS;STAFF;FOOD,
BOD133,Yahşi Beach Hotel & Restaurant,Ortakent-Yahşi,10,4.0,5.0,0.2,0.7,44.0,60.0,90.0,LOW_SUPPORT,LOW,STAFF;BEACH_SEA;FOOD;PRICE_VALUE;CLEANLINESS,STAFF;BEACH_SEA;FOOD,LOCATION
BOD134,Yakamoz Otel,Ortakent-Yahşi,10,2.8,2.0,0.6,0.4,44.0,70.0,90.0,LOW_SUPPORT,LOW,FOOD;STAFF;PRICE_VALUE;CLEANLINESS;BED_COMFORT,BEACH_SEA;FACILITIES,FOOD;PRICE_VALUE;STAFF
BOD136,Zest Exclusive Hotel and Spa,Ortakent-Yahşi,10,4.9,5.0,0.0,1.0,31.0,50.0,80.0,LOW_SUPPORT,LOW,FOOD;STAFF;BEACH_SEA;LOCATION;CLEANLINESS,FOOD;BEACH_SEA;STAFF,
BOD140,DoubleTree by Hilton Bodrum Işıl Club All-Inclusive Resort,Torba,10,3.3,4.0,0.4,0.6,288.0,90.0,90.0,LOW_SUPPORT,LOW,ROOM;FOOD;STAFF;CLEANLINESS;BAR_DRINKS,FOOD;ROOM;PRICE_VALUE,FOOD;ROOM;STAFF
BOD143,Hotel Zeytinada,Torba,10,5.0,5.0,0.0,1.0,50.0,80.0,90.0,LOW_SUPPORT,LOW,STAFF;CLEANLINESS;FOOD;ROOM;NOISE,STAFF;FOOD;CLEANLINESS,
BOD145,Moyo Luxury Hotel & Beach,Torba,29,3.827586206896552,5.0,0.241,0.724,56.0,62.1,96.6,MODERATE,MEDIUM,STAFF;ROOM;FOOD;BEACH_SEA;BAR_DRINKS,STAFF;FOOD;BEACH_SEA,ROOM;BAR_DRINKS;SERVICE
BOD146,Olivia Hotel,Torba,44,4.5,5.0,0.114,0.841,35.5,61.4,100.0,MODERATE,MEDIUM,CLEANLINESS;FOOD;ROOM;LOCATION;STAFF,CLEANLINESS;FOOD;ROOM,FACILITIES;HYGIENE;WIFI
BOD147,Omar Hotel & Suites,Torba,10,4.5,5.0,0.1,0.9,33.0,80.0,90.0,LOW_SUPPORT,LOW,FOOD;NOISE;BEACH_SEA;STAFF;ROOM,FOOD;BEACH_SEA;NOISE,BAR_DRINKS;MANAGEMENT;RESERVATION
BOD148,Rixos Premium Bodrum,Torba,20,4.55,5.0,0.05,0.85,79.5,65.0,75.0,MODERATE,MEDIUM,STAFF;FOOD;BEACH_SEA;LOCATION;BAR_DRINKS,FOOD;STAFF;BEACH_SEA,COMMUNICATION;RESERVATION;HYGIENE
BOD150,Samara Hotel,Torba,20,3.7,4.0,0.2,0.7,102.5,70.0,85.0,MODERATE,MEDIUM,ROOM;FOOD;CLEANLINESS;STAFF;BEACH_SEA,FOOD;ROOM;CLEANLINESS,COMMUNICATION;HYGIENE;AIR_CONDITIONING
BOD152,"Susona Bodrum, LXR Hotels & Resorts",Torba,20,4.6,5.0,0.1,0.9,63.5,75.0,75.0,MODERATE,MEDIUM,STAFF;FOOD;CLEANLINESS;ROOM;BEACH_SEA,STAFF;FOOD;CLEANLINESS,COMMUNICATION;PRICE_VALUE;ANIMATION_ENTERTAINMENT
BOD153,The Oba Hotel,Torba,10,4.6,5.0,0.0,0.9,127.0,80.0,80.0,LOW_SUPPORT,LOW,STAFF;SERVICE;BAR_DRINKS;BEACH_SEA;ROOM,SERVICE;STAFF;BAR_DRINKS,
BOD155,Trend Life | Trendlife Hotels & Beach Club Bodrum Torba,Torba,10,4.1,5.0,0.2,0.8,61.5,60.0,90.0,LOW_SUPPORT,LOW,STAFF;FOOD;BAR_DRINKS;BEACH_SEA;LOCATION,BAR_DRINKS;BEACH_SEA;FOOD,BAR_DRINKS;ANIMATION_ENTERTAINMENT;MANAGEMENT
BOD156,Voyage Torba,Torba,10,4.9,5.0,0.0,1.0,194.0,70.0,90.0,LOW_SUPPORT,LOW,FOOD;STAFF;CLEANLINESS;ROOM;SERVICE,FOOD;SERVICE;CLEANLINESS,
BOD161,MyElla Hotel Resort & Spa,Turgutreis,10,1.5,1.0,0.9,0.0,232.5,100.0,100.0,LOW_SUPPORT,LOW,CLEANLINESS;ROOM;FOOD;STAFF;BEACH_SEA,,CLEANLINESS;FOOD;ROOM
